city,state,zip_code,price,bed,bath,house_size,street,monthly_rent,monthly_cashflow,roi_pct,annual_tax,total_invested,investment_score,grade,appreciation_score,voucher_demand_score
Memphis,Tennessee,38002.0,225000.0,3,2.0,,875280.0,1549.0,826.55,19.17,4365.0,51750.0,4.13,F,6.5,8.5
Memphis,Tennessee,38002.0,218000.0,3,2.0,,869555.0,1549.0,846.62,20.26,4229.2,50140.0,4.16,F,6.5,8.5
Memphis,Tennessee,38002.0,225000.0,3,3.0,,863605.0,1549.0,826.55,19.17,4365.0,51750.0,4.13,F,6.5,8.5
Memphis,Tennessee,38002.0,259900.0,3,2.0,,857250.0,1549.0,726.5,14.58,5042.06,59777.0,4.01,F,6.5,8.5
Memphis,Tennessee,38016.0,150000.0,4,3.0,,1813044.0,1549.0,1041.55,36.23,2910.0,34500.0,4.48,F,6.5,8.5
Memphis,Tennessee,38016.0,199900.0,3,2.0,,1706025.0,1549.0,898.5,23.45,3878.06,45977.0,4.23,F,6.5,8.5
Memphis,Tennessee,38016.0,210000.0,3,3.0,,742135.0,1549.0,869.55,21.6,4074.0,48300.0,4.19,F,6.5,8.5
Memphis,Tennessee,38016.0,260000.0,3,2.0,,1707300.0,1549.0,726.22,14.57,5044.0,59800.0,4.01,F,6.5,8.5
Memphis,Tennessee,38016.0,265000.0,3,2.0,,1766695.0,1549.0,711.88,14.02,5141.0,60950.0,3.99,F,6.5,8.5
Memphis,Tennessee,38016.0,275000.0,3,3.0,,1748537.0,1549.0,683.22,12.96,5335.0,63250.0,3.96,F,6.5,8.5
Memphis,Tennessee,38016.0,319900.0,4,2.0,,1752676.0,1549.0,554.5,9.04,6206.06,73577.0,3.82,F,6.5,8.5
Memphis,Tennessee,38016.0,249900.0,3,2.0,,51448.0,1549.0,755.17,15.77,4848.06,57477.0,4.04,F,6.5,8.5
Memphis,Tennessee,38016.0,279900.0,3,2.0,,1640359.0,1549.0,669.17,12.47,5430.06,64377.0,3.95,F,6.5,8.5
Memphis,Tennessee,38016.0,255000.0,3,3.0,,688200.0,1549.0,740.55,15.15,4947.0,58650.0,4.03,F,6.5,8.5
Memphis,Tennessee,38016.0,365000.0,4,3.0,,617053.0,1549.0,425.22,6.08,7081.0,83950.0,3.7,F,6.5,8.5
Memphis,Tennessee,38016.0,339900.0,4,4.0,,588688.0,1549.0,497.17,7.63,6594.06,78177.0,3.77,F,6.5,8.5
Memphis,Tennessee,38016.0,350000.0,4,4.0,,1734918.0,1549.0,468.22,6.98,6790.0,80500.0,3.74,F,6.5,8.5
Memphis,Tennessee,38016.0,295000.0,3,2.0,,1718171.0,1549.0,625.88,11.07,5723.0,67850.0,3.9,F,6.5,8.5
Memphis,Tennessee,38016.0,349000.0,4,3.0,,1750052.0,1549.0,471.08,7.04,6770.6,80270.0,3.74,F,6.5,8.5
Memphis,Tennessee,38016.0,325000.0,4,3.0,,1744437.0,1549.0,539.88,8.67,6305.0,74750.0,3.81,F,6.5,8.5
Memphis,Tennessee,38016.0,299900.0,3,2.0,,817710.0,1549.0,611.84,10.64,5818.06,68977.0,3.88,F,6.5,8.5
Memphis,Tennessee,38016.0,275000.0,2,2.0,,435838.0,1175.0,327.92,6.22,5335.0,63250.0,3.63,F,6.5,8.5
Memphis,Tennessee,38016.0,224000.0,3,2.0,,464406.0,1549.0,829.42,19.32,4345.6,51520.0,4.14,F,6.5,8.5
Memphis,Tennessee,38016.0,298000.0,4,3.0,,1712026.0,1549.0,617.28,10.81,5781.2,68540.0,3.89,F,6.5,8.5
Memphis,Tennessee,38016.0,330000.0,4,3.0,,1651489.0,1549.0,525.55,8.31,6402.0,75900.0,3.8,F,6.5,8.5
Memphis,Tennessee,38016.0,350000.0,4,4.0,,1742556.0,1549.0,468.22,6.98,6790.0,80500.0,3.74,F,6.5,8.5
Memphis,Tennessee,38016.0,309900.0,4,3.0,,624134.0,1549.0,583.17,9.82,6012.06,71277.0,3.85,F,6.5,8.5
Memphis,Tennessee,38016.0,312900.0,3,3.0,,1836092.0,1549.0,574.57,9.58,6070.26,71967.0,3.84,F,6.5,8.5
Memphis,Tennessee,38016.0,335000.0,4,3.0,,285649.0,1549.0,511.22,7.96,6499.0,77050.0,3.78,F,6.5,8.5
Memphis,Tennessee,38016.0,310000.0,3,3.0,,502104.0,1549.0,582.88,9.81,6014.0,71300.0,3.85,F,6.5,8.5
Memphis,Tennessee,38018.0,289900.0,4,3.0,,89809.0,1549.0,640.5,11.53,5624.06,66677.0,3.91,F,6.5,8.5
Memphis,Tennessee,38018.0,278000.0,3,3.0,,161023.0,1549.0,674.62,12.66,5393.2,63940.0,3.95,F,6.5,8.5
Memphis,Tennessee,38018.0,265000.0,3,3.0,,1542043.0,1549.0,711.88,14.02,5141.0,60950.0,3.99,F,6.5,8.5
Memphis,Tennessee,38018.0,349900.0,4,3.0,,1387620.0,1549.0,468.5,6.99,6788.06,80477.0,3.74,F,6.5,8.5
Memphis,Tennessee,38018.0,225000.0,3,2.0,,1661773.0,1549.0,826.55,19.17,4365.0,51750.0,4.13,F,6.5,8.5
Memphis,Tennessee,38018.0,320000.0,4,3.0,,1706501.0,1549.0,554.22,9.04,6208.0,73600.0,3.82,F,6.5,8.5
